phrase,normalized_phrase,context,previous_sentence,next_sentence,title,source,url,created_at,document_id,valid_context,context_label,canonical_topic,action,reviewer_note
선택한 이유는,선택한 이유,일단 제가 엔조최재훈 을 선택한 이유는 처음 추자현씨가 결혼식날 입은 드레스를 보았을 때 정말....,"아직 드레스투어 전 이긴 하지만, 엔조최재훈 을 비롯한 로즈로사 시작바이 드투 예정인데 왠지 투어 하고나서도 저는 엔조최재훈 일 것 같아요!","그 드레스가 잊혀지지 않았어요, 머릿속에 콕 박힌?",엔조최재훈 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=52,,52,,,,,
선택한 이유는,선택한 이유,6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유.,,"레이첼웨딩은 결직 추천으로 알게 되었고, 드투 때 가서 직접 입어보니 깨끗한 느낌의 소녀스럽고 러블리한 디자인이 많은 것 같아서 선택하게 되었습니다.",6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92,,92,,,,,
드레스 느낌이,드레스 느낌,"대충 드레스의 느낌을 볼수 있어서 참고를 많이 하였습니다 플래너가 없어서 불안하기도 ㅎ했는데 일정 전에 필요한 준비물 및 주차위치 주차 안내사항 등 미리 꼼꼼히 알려주셔서 감사하고 드레스 고를때에도 비슷한 다른업체도 소개해주셔서 비교한 후에 예쁜 업체로 고를수 있게 해주심 감사합 니다 스튜디오 찍는날도 특별히 신경써달라고 부탁하셨다고 해서 굉장히 든든한마음으로 옆에계신것처럼 사진도 잘찍고 마무리하였습니니다니 저같이 플래너도 없고 업체를 잘 모르겠다 하시면 저는 결직웨딩추천합니다 세심한 준비물 전송 알맞은 시간 안내 다 만족하였습니다 미리미리 챙겨주셔서 감사해요 계약서 작성도 어렵지 않았고, 제 니즈를 많이 물어봐주시고 업체에 특별히 잘부탁한다고 하셨다고해서 감동 이었습니다~ 친절하고 가성비 있게 편하게 준비하고싶다면 결직웨딩으로!","예물: ______________________ 결직웨딩은 검색을 통해알게되었구요 여러가지 찾아보다가 저는 지방에사는데 서울에서 결혼을 하여서 따로따로 알아보기가 어렵기도하고 가성비있게 결혼하고싶기도하고 스튜디오는 하고싶은 곳이있어서 드메 업체를 찾고있었는데 딱 발견해서 너무 좋았고 제 취향저격이었습니다^^ 금액이 명시되어있는 점이 결직웨딩이 찬 마음에들었습니다 원하는대로 금액대별로 고를수도 있어서 좋았고 비슷한 분위기, 가격대 업체들을 함께 추천해주셔서 선택에 있어 매우 한결 쉬워졌습니다.",행복한 결혼 준비 시간 보내세요~~~~,수수료 없이 직거래 드메 계약완료,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=118,,118,,,,,
드레스 느낌이,드레스 느낌,그리고 헤어도 다양하게 변형해주시는데 헤어 변형에 따라 드레스 느낌도 다른것 같아요.,저는 어깨라인이 별로 안이쁘다 생각해서 오프숄더는 생각 안했는데 오프숄더도 입어보니 너무 예뻤다는...ㅎㅎ 사실 드레스가 예뻐서 어떤 분이 입으셔도 예쁠 듯 합니다.,이래서 투어를 꼼꼼히 하나봅니다.,브라이드손윤희 드레스 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=19,,19,,,,,
드레스 느낌이,드레스 느낌,또 웨딩홀 분위기에 따라도 드레스 느낌이 다를 것 같은데 저희는 어두운 홀은 아니라서 비즈보다는 실크나 레이스 같이 잔잔한 드레스가 어울릴 것 같아서 이런 스타일로 픽했네요.,이래서 투어를 꼼꼼히 하나봅니다.,"아쉬웠던 점을 굳이 꼽자면 제 몸뚱아리..ㅠㅠ 팔뚝살이 조금만 더 여리했었어도 탑으로 된 드레스 입었으면 참 예뻣을텐데 하는 생각이 들더라고요, 그래도 기세로 밀어붙입니다!!",브라이드손윤희 드레스 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=19,,19,,,,,
드레스 느낌이,드레스 느낌,그리고 남이 봐주는 드레스랑 제 취향이랑 다를때도 많은데 저는 괜히 남 이야기 듣고 후회할바에 제 기준대로 밀어붙이고 후회해야 탓할 사람도 있으니 제 의견대로 했어요 ㅎㅎ 같은 드레스라도 볼레로를 어떻게 연출하냐에 따라 드레스 느낌이 천지차이였는데 로브드케이 실장님께서 제 얼굴형과 신체에 맞게 센스 있는 드레스 스타일링을 해주셔가지고 넘 좋았네요~!,제가 입고 싶은거 입는게 최고 아니겠냐며 ㅎㅎ 사실 어른들한테는 말씀을 안드려서 좀 무섭기는 하지만 결혼식 당일만 무사히 보내면 됩니다 ㅋㅋ 로브드케이는 확실히 어머님들이 좋아하실 단정한 드레스가 많은 것 같았어요~ 그 중에서도 등파인거 고른 제가 레전드긴 하지만 ㅋㅋ 오간자 실크 풍성 드레스도 너무 예뻤는데 제가 입어보니 막상 화보느낌이 안나서 너무 아쉬웠다는..ㅠㅠ 이번 신상 드레스가 진짜 예뻤는데 막상 입어보니 제가 원하는 느낌이 안났어용 드레스는 확실히 입어보고 고르는게 정답입니다!,비록 드레스투어를 세곳밖에 못가서 다른 선택지랑 비교하기가 그렇지만 저는 로브드케이 너무 만족하고 있어요 고급스러운 실크드레스 찾으시는 분들은 로브드케이 정말로 추천합니당 ^^,로브드K 드레스로 결정했어요!,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=21,,21,,,,,
드레스 느낌이,드레스 느낌,"확실히 각 샵마다 드레스 느낌이 다르기도 하고, 헤어변형이나 볼레로 조명 등등 다른 부가적인 요소도 드레스 셀렉에 많은 반영이 되기 때문에 최대한 다른 샵에서 여러가지 느껴보는게 좋을 것 같더라구요 쥬빌리브라이드에서 제일 맘에 드는 드레스는 레이스 꽃 드레스였는데 비즈드레스만 염두에 두고 있었던 제가 마음을 쏙 빼앗겨버린 드레스가 바로 레이스 드레스였습니다:) 레이스 드레스는 개인적으로 식탁보 같은 느낌이 들기도 해서 별로라고 생각했는데 확실히 잘 만들어진 옷 한벌을 입어보니 느낌이 또 다르더라구요.","저랑 비슷한 취향의 예신님들이 많으신지 쥬빌리브라이드,아뜰리에로리에 이렇게 투어 가시는 분들이 많으시더라구요, 여기에 +로 비비드블랑,우아르,셀렉션h 등등도 함께 가시는 분들도 많으신듯 합니다 🙂 드레스피팅비는 모두 5만원이고요~ 드레스 투어땐 사진을 못찍어서 이게 너무 아쉬웠지만 같이간 친구가 대충 스케치도 해주고, 느낌을 메모장에 정말 열심히 써주어서 기억에 잘 남네요:) 나중에 친구한테 꼭 보답해야겠어요:) 마음에 드는 드레스를 투어 전에 미리 인스타나 블로그 등을 보고 캡쳐해가시면 드레스 샵 직원분이 저의 스타일을 반영해서 드레스를 골라주시고 추천해주시기 때문에 이 점 꼭 챙겨서 드레스 투어 하시길 바랍니다:) 저는 두곳만 돌아보았는데 체력이나 시간적 여유가 있으시다면 3-4곳 둘러보는것도 좋을 것 같애요.",같이 간 친구도 레이스 드레스가 제일 예쁘다고 했습니다.,쥬빌리브라이드 / 아뜰리에 로리에 드레스 투어 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=25,,25,,,,,
예쁜 드레스,예쁜 드레스,모네뜨아르 실장님들이 다들 친절하시고 나한테 잘 어울리는 드레스를 찰떡같이 골라주셔서 고르기 힘들었지만 잘 고민해주고 골라주셔서 예쁜 드레스 골랐습니다.,나한테 잘 어울리는 드레스를 잘 골라주시고 같이 고민해주셔서 잘 골랐습니다.,웨딩홀이 어두운지 밝은지에 따라 어울릴 드레스가 달라집니다.,모네뜨아르 본식드레스 계약후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=33,,33,,,,,
예쁜 드레스,예쁜 드레스,본식드레스는 사진보다 실물이 예쁜 드레스!,"제이스포사가 종류도 다양하게 있고, 특히 피치톤, 이이보리톤 머메이드 드레스도 많이 있어서 여기로 선택했어요.",그래서 비즈 들어간 머메이드로 선택했습니다.,제이스포사 결직웨딩 드메패키지 계약후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=4,,4,,,,,
예쁜 드레스,예쁜 드레스,저 또한 스띨레디허를 만나서 예쁜 드레스를 입고 본식을 할 생각하니 너무 기분이 좋네요.,"스튜디오 촬영을 도와주셨던 이모님, 매번 방문할 때마다 헤어손질과 피팅을 도와주시던 직원분, 엘레강스하고 아우라 뿜뿜인 대표님 부원장님(?) - 직급은 잘 기억이 나지 않았지만, 본식 가봉 날 처음 뵈었지만 너무나도 잘 챙겨주셨던 직원분 한 분 한 분 너무 감사했고, 짧지만 저와의 인연도 소중하게 기억해주셨던 게 너무 감사하더라고요.",,스띨레디허 드메패키지 계약후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=45,,45,,,,,
예쁜 드레스,예쁜 드레스,기대도 되구요~ 이사님덕분에 빠르게 헤어변형도 예약하고 기대하고 있습니다~ 이제 드레스잘 고를일만 남았네요~~ 예쁜 드레스샵도 추천해주셔서 너무 신나요~~ 어쩜 제 맘을 딱 아는것 처럼 제 취향대로 잘 추천해주셨어요~~ 직거래웨딩이라 피드백도 빠르고 샵이랑 커뮤니케이션도 잘된다고 하셨어요~ 감사합니다~~,너무 찍고 싶던 이브로제 스튜디오 좋은금액으로 진행한것 같아요 기분이 엄청 좋아요.,,이브로제 스튜디오계약했어요~,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=48,,48,,,,,
예쁜 드레스,예쁜 드레스,임팩트가 있는 슬리브리스 디자인과 ​뒷라인이 예쁜 드레스를 보여주셨어요.,"앉았을때 퍼지는 느낌이 예쁜 드레스로 일체형의 긴팔의 드레스, 1번의 다양한 볼레로 연출이 가능한데도 긴팔의 풍성한 느낌이 너무 예뻤어요.",드레스 샵 실장님이 강추 했던 드레스인만큼 너무도 마음에 들었던 드레스 예요.,레이나모라 드레스 촬영가봉 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=86,,86,,,,,
맘에 드는,맘에 드는,"그럴 때마다 챙겨주시고 실제로 드투때, 본식 드레스 고르날에 와주셔서 큰 도움을 주셨습니다 ㅠㅠ 이때 무지 감동받았어요… 덕분에 정말 맘에 드는 드레스 입고 본식날 입장합니다 두근두근 앞으로 예식이 얼마 남지 않았는데 결직 웨딩 덕분에 실패없이 차근차근 준비할 수 있어서 행복하네용 🙂 설레기도 하구요!!",그리고 우리모두 결혼이 처음인지라 모르는 부분도 많고 깜빡할 수도 있잖아요.,그럼 모두들 결직웨딩에서 후회 없는 선택하시길 바랄게요!!,결직웨딩 스드메 계약 후기 (로그에이 / 라포레 / 드이희),kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=110,,110,,,,,
맘에 드는,맘에 드는,"다른 스튜디오와 달리 서울 강남 말고 경기도 하남에 있는데 저희 집이 구리쪽이라 오히려 서울보다 하남으로 가는게 더 가까워서 좋았고 스튜디오안에서 드레스랑 메이크업도 바로 해결할 수 있는 토탈 서비스도 진행하고 있더라고요~ 친한친구가 두달 전에 웨딩촬영 했는데 추운날 일찍 일어나서 새벽에 샵 갔다가 또 스튜디오가서 하루종일 사진 찍고 드레스 이모님 차비도 내드려야 하고 돈도 돈이고 체력도 체력이라 너무 힘들었다고 했는데 저는 체력거지라,,, 차라리 이렇게 가까운 스튜디오 내에서 한번에 해결할 수 있는게 넘 좋았네요^^ 토탈 패키지는 드레스 종류가 제한적이기도 하고 맘에 드는 드레스를 못 고를 수도 있다고 해서 걱정 많았는데 오히려 스튜디오에서 배경과 어울릴만한 드레스로만 구비해놔서 그런지 배경이랑 드레스랑 찰떡이라는 느낌을 받았어용 ㅎㅎ 메이크업도 전문가가 알아서 잘해주셨어여 저는 사실 화장을 잘 못해서 그냥 저보다 잘하기만 하면 된다는 생각이 커서 불편함 아쉬움 없이 잘 마무리 했어용 스튜디오가 넓은만큼 배경도 엄청 많은데 그래서인지 당일에 촬영하러 가면 꼭 찍고 싶었던 배경에서 못찍고 넘어갈 수도 있으니 미리미리 찍고싶은 배경 체크하셔서 가시길 추천드립니당.",인스타그램에서 여러 스튜디오 샘플 사진을 보다가 섬스튜디오에 맘을 싹 뺏겨버렸는데요.,날씨도 선선하니 스튜디오도 이쁘고 넘 기분 좋은 하루였어요.,섬스튜디오 정말 맘에 들어요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=14,,14,,,,,
맘에 드는,맘에 드는,"확실히 각 샵마다 드레스 느낌이 다르기도 하고, 헤어변형이나 볼레로 조명 등등 다른 부가적인 요소도 드레스 셀렉에 많은 반영이 되기 때문에 최대한 다른 샵에서 여러가지 느껴보는게 좋을 것 같더라구요 쥬빌리브라이드에서 제일 맘에 드는 드레스는 레이스 꽃 드레스였는데 비즈드레스만 염두에 두고 있었던 제가 마음을 쏙 빼앗겨버린 드레스가 바로 레이스 드레스였습니다:) 레이스 드레스는 개인적으로 식탁보 같은 느낌이 들기도 해서 별로라고 생각했는데 확실히 잘 만들어진 옷 한벌을 입어보니 느낌이 또 다르더라구요.","저랑 비슷한 취향의 예신님들이 많으신지 쥬빌리브라이드,아뜰리에로리에 이렇게 투어 가시는 분들이 많으시더라구요, 여기에 +로 비비드블랑,우아르,셀렉션h 등등도 함께 가시는 분들도 많으신듯 합니다 🙂 드레스피팅비는 모두 5만원이고요~ 드레스 투어땐 사진을 못찍어서 이게 너무 아쉬웠지만 같이간 친구가 대충 스케치도 해주고, 느낌을 메모장에 정말 열심히 써주어서 기억에 잘 남네요:) 나중에 친구한테 꼭 보답해야겠어요:) 마음에 드는 드레스를 투어 전에 미리 인스타나 블로그 등을 보고 캡쳐해가시면 드레스 샵 직원분이 저의 스타일을 반영해서 드레스를 골라주시고 추천해주시기 때문에 이 점 꼭 챙겨서 드레스 투어 하시길 바랍니다:) 저는 두곳만 돌아보았는데 체력이나 시간적 여유가 있으시다면 3-4곳 둘러보는것도 좋을 것 같애요.",같이 간 친구도 레이스 드레스가 제일 예쁘다고 했습니다.,쥬빌리브라이드 / 아뜰리에 로리에 드레스 투어 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=25,,25,,,,,
맘에 드는,맘에 드는,맘에 드는 점이 참 많은데 그 중에서도 공장 처럼 여러커플 찍어 내는 게 아닌정말 파티처럼 온전히 저희 커플만을 위해 결혼식이 진행 될 수 있는 여유로운 환경때문에 다 캔슬 하고 예약하게 되었네요.,"야외 정원, 한큐에 이동할 수 있는 동선, 2시간의 예식 텀, 편리한 주차장, 한상 차림의 한식 등등.","재즈 공연하는걸 직접 봤는데요, 저희 추가 비용 내고라도 꼭 하기로 했네요.",웨딩홀견적 받아보고 결정한 마리아쥬스퀘어 웨딩홀,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=57,,57,,,,,
맘에 드는,맘에 드는,"전 사실 헤어가 미친 듯이~~~~맘에 드는 건 아니었지만 만족했고, 메이크업도 본식 때는 좀 더 고급지게 연출해주신다고 말하셨어요.",신랑은 너무 맘에 들어서 본식 전엔 항상 다니는 샵에 가질 않고 부원장님 예약 잡아서 다운펌과 커트를 진행했어요.,너무 오랜만에 받은 메이크업이라 어색하고 눈은 뻑뻑했지만 공주놀이에 너무 좋았답니다.,김청경 헤어페이스 후기 공유해요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=65,,65,,,,,
마음에 드는,마음 드는,저희는 추가금 있어도 내 마음에 드는 걸 하기로 해서 좋았어요.,추가금을 내면 어느 정도까지 괜찮은지 아니면 안 내고 그 가격대로 보고 싶은지 물어보시고 나중에 맘 상하는 일 없게 미리 캐치해주시더라고요.,,모네뜨아르 본식드레스 계약후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=33,,33,,,,,
마음에 드는,마음 드는,"원장님이 본인의 눈을 믿으라고 하셨는데, 믿고 가장 마음에 드는 예쁜 드레스 잘 고르시길 바래요.",찰떡같이 잘 골라주세요.,,황정아웨딩 드메패키지로 계약하고 가봉끝냈어요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=62,,62,,,,,
마음에 드는,마음 드는,마음에 드는 드레스를 고른만큼 예쁜 웨딩촬영 하고 올게요.,드레스 샵 실장님이 강추 했던 드레스인만큼 너무도 마음에 들었던 드레스 예요.,,레이나모라 드레스 촬영가봉 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=86,,86,,,,,
마음에 드는,마음 드는,"하트넥에 어느 정도 어깨 뽕이 있고, 치마가 풍성하게 떨어지는 라인을 입고 싶어서 레이첼 실장님께 말씀드렸더니, 풍성하고 하트넥 비슷한 넥만 보여주셔서 입어본 드레스 4벌이 모두 마음에 드는 정도였습니다.",여러 가지 웨딩드레스 사진을 많이 봤는데 넥라인은 하트넥이 가장 이쁘더라구요.,결국 선택한 드레스는 하트넥의 잔잔한 비즈가 전체를 덮고 있는 소녀스러운 드레스를 골랐습니다.,6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92,,92,,,,,
마음에 드는,마음 드는,"라인은 무조건 풍성이어야 하고(슬림은 절대 안), 넥선은 하트넥에, 팔은 조금이라도 있어야 하고(탑이나 민소매, 긴팔은 안), 실크는 말고 비즈 쪽으로(완전 실크 안, 비즈+레이스 OK) 이런 입고 싶은 스타일을 정확하게 레이첼 실장님께 전달해 드렸더니, 제가 좋아하는 스타일의 드레스로만 입어볼 수 있어서 마음에 드는 것 중에 제일 마음에 드는 걸 고르는 기분이어서 진행이 수월했습니다.",제가 입고 싶은 스타일이 아주 명확한 편이었어요.,"드투 때 2가지 드레스를 픽스해놨었는데, 때 고른 것보다 더 이쁜 것이 많이 나왔을 것 같았고, 그때 고른 게 제 마음에 완벽히 딱 마음에 들지도 않았던 터라 과감하게 픽스해놓은 드레스는 전혀 입지 않았습니다.",6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92,,92,,,,,
샘플 사진을,샘플 사진,"사실 다른 스튜디오도 고려했지만, 상담 과정에서 라흐스튜디오 샘플 사진을 보면서 확신이 들었고, 이벤트가로 합리적인 금액에 계약할 수 있어 만족스러웠습니다.","결혼 준비를 시작하면서 스튜디오를 어디로 할지 많이 고민했는데, 결직웨딩을 통해 라흐스튜디오를 알게 되었고 플래너님께 추천받아 계약하게 되었습니다.",무엇보다도 플래너님이 빠르게 피드백과 응답을 주셔서 궁금한 점이 생길 때마다 바로바로 확인할 수 있었던 점이 정말 좋았어요.,결직웨딩을 통해서 라흐스튜디오 계약했어요~,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=107,,107,,,,,
샘플 사진을,샘플 사진,"컨셉도 저희가 잘 찍을 수 있는 컨셉들로 잘 골라주셨는데요, 샘플 사진을 보면서도 저희가 잘 고르지 못하겠더라고요.",헬퍼이모님도 잘 해주시고 진짜 감사했습니다.,"다 예뻐보이긴 하는데 저희랑 잘 어울릴지를 잘 모르겠었는데, 위뜨스튜디오 작가님이 워낙 프로시니 잘 골라주셨던 것 같아요.",위뜨스튜디오 웨딩촬영 후기 남겨요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=13,,13,,,,,
샘플 사진을,샘플 사진,인스타그램에서 여러 스튜디오 샘플 사진을 보다가 섬스튜디오에 맘을 싹 뺏겨버렸는데요.,안녕하세요 결직웨딩 통해서 섬스튜디오 계약을 했습니다.,"다른 스튜디오와 달리 서울 강남 말고 경기도 하남에 있는데 저희 집이 구리쪽이라 오히려 서울보다 하남으로 가는게 더 가까워서 좋았고 스튜디오안에서 드레스랑 메이크업도 바로 해결할 수 있는 토탈 서비스도 진행하고 있더라고요~ 친한친구가 두달 전에 웨딩촬영 했는데 추운날 일찍 일어나서 새벽에 샵 갔다가 또 스튜디오가서 하루종일 사진 찍고 드레스 이모님 차비도 내드려야 하고 돈도 돈이고 체력도 체력이라 너무 힘들었다고 했는데 저는 체력거지라,,, 차라리 이렇게 가까운 스튜디오 내에서 한번에 해결할 수 있는게 넘 좋았네요^^ 토탈 패키지는 드레스 종류가 제한적이기도 하고 맘에 드는 드레스를 못 고를 수도 있다고 해서 걱정 많았는데 오히려 스튜디오에서 배경과 어울릴만한 드레스로만 구비해놔서 그런지 배경이랑 드레스랑 찰떡이라는 느낌을 받았어용 ㅎㅎ 메이크업도 전문가가 알아서 잘해주셨어여 저는 사실 화장을 잘 못해서 그냥 저보다 잘하기만 하면 된다는 생각이 커서 불편함 아쉬움 없이 잘 마무리 했어용 스튜디오가 넓은만큼 배경도 엄청 많은데 그래서인지 당일에 촬영하러 가면 꼭 찍고 싶었던 배경에서 못찍고 넘어갈 수도 있으니 미리미리 찍고싶은 배경 체크하셔서 가시길 추천드립니당.",섬스튜디오 정말 맘에 들어요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=14,,14,,,,,
샘플 사진을,샘플 사진,"사계절 스튜디오 샘플 사진 보니, 제가 꼭 찍고 싶었던, 원판 사진에서 불 다 끄고 하객들이 휴대폰 플래시 켜고, 찍는 사진을 너무 찍고 싶었거든요.","그때 마침 저도 본식 스냅 업체를 알아봐야 하는 시기였고, 해서 인스타그램에서 사계절 스튜디오의 본식 스냅 사진을 살펴보았고, 결직웨딩에서 사계절 스튜디오를 검색해보니, 마침 할인쿠폰이 있어서 할인받고 계약했어요.",그게 사계절에서도 찍어주더라고요.,"본식스냅 4군데 비교하고 결정했어요, (사계절스튜디오)",kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=63,,63,,,,,
샘플 사진을,샘플 사진,"사계절 스튜디오, 다시봄날, 라비스냅, 언아더데이 까지 4군데 정도 추천을 받았고요, 먼저 샘플 사진들을 보고, 예산에 들어오는 금액의 업체들을 살펴보고, 그중에서 제일 마음에 드는 업체를 고를 수 있었습니다.","가성비가 좋은 업체를 찾다 보니, 사계절 스튜디오로 결정했습니다.",,"본식스냅 4군데 비교하고 결정했어요, (사계절스튜디오)",kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=63,,63,,,,,
선택하게 되었습니다,선택하게 되었습니다,"저도 고민이 정말 많았는데, 웨딩 플래너님이 추천해 주신 곳들 중 투어 끝에 르셀루 를 최종 선택하게 되었습니다.","신부의 드레스만큼이나 신랑의 예복(수트) 핏과 색상 조합이 웨딩 사진의 완성도를 좌우한다는 사실, 다들 알고 계시죠?","대표님과의 디테일한 1:1 상담을 통해 원단 셀렉부터 제 체형에 딱 맞는 스타일링, 촬영용 소품까지 완벽하게 챙겨주신 덕분에 정말 만족스러운 사진을 남길 수 있었습니다.",강남 르셀루(LE SELU) 대여/맞춤 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=129,,129,,,,,
선택하게 되었습니다,선택하게 되었습니다,"더 화이트 엘리자베스가 비즈 장식이 돋보이는 ""비즈맛집""으로 유명하다는 이야기를 듣고 선택하게 되었습니다.",더화이트 엘리자베스 본식가봉 후기.,"드레스 투어를 갔을 때 가장 임팩트 있는 샵이었고, 특히 크고 어두운 호텔 베뉴에서 빛날 것 같다는 느낌을 받았어요.",더화이트 엘리자베스 본식가봉 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=50,,50,,,,,
선택하게 되었습니다,선택하게 되었습니다,저는 웨딩촬영 스튜디오로 가을스튜디오를 선택하게 되었습니다.,가을스튜디오 결직웨딩에서 계약했습니다..,선택하게 된 가장 큰 이유는 새로나온 샘플에 혹했어요.,가을스튜디오 결직웨딩에서 계약했습니다.,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=9,,9,,,,,
선택하게 되었습니다,선택하게 되었습니다,"실크, 비즈, 레이스 등 다양한 종류가 같이 있는 샵을 원했고(저한테 뭐가 잘 어울릴지 감이 안 와서), 샵의 느낌이 저한테 어울리는지도 중요하게 생각했는데, 드투에 함께 간 친구들과 예랑이가 레이첼 샵 느낌이 저와 잘 어울린다고 해서 선택하게 되었습니다.","레이첼웨딩은 결직 추천으로 알게 되었고, 드투 때 가서 직접 입어보니 깨끗한 느낌의 소녀스럽고 러블리한 디자인이 많은 것 같아서 선택하게 되었습니다.",일단 라인은 무조건 풍성으로 정하고 갔습니다.,6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92,,92,,,,,
선택하게 되었습니다,선택하게 되었습니다,로즈로사를 선택한 가장 큰 이유는 로즈로사만의 사랑스러움과 여성스러움이 가득해서 선택하게 되었습니다.,로즈로사 본식 가봉 후기.,"어두운 홀에서 예식을 진행하는지라 화려하면서도 사랑스러움이 돋보일 수 있는 드레스를 원했는데, 딱 로즈로사가 저에게는 입어본 옷들이 하나같이 잘 어울리더라구요.",로즈로사 본식 가봉 후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=94,,94,,,,,
축의금 만원,축의금 만원,"30 23:48:40 스크랩 ㄷㄷ ""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래 서울 강남권 예식장의 1인당 식대가 9만원을 넘어선 것으로 나타났다.",01.,전국 평균 결혼식 비용은 안정세를 유지했지만 강남 지역을 중심으로 예식장 비용이 오르며 지역 간 격차는 더욱 벌어지고 있다.,"""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래",dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=69752,,69752,,,,,
축의금 만원,축의금 만원,"""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래.",,결갤러 (121.,"""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래",dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=69752,,69752,,,,,
축의금 만원,축의금 만원,"KTX 타고 서울 결혼식 갔더니...""축의금 10만원이 뭐냐, 20만원은.",,결갤러 (118.,"KTX 타고 서울 결혼식 갔더니...""축의금 10만원이 뭐냐, 20만원은",dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=78688,,78688,,,,,
축의금 만원,축의금 만원,"26 21:56:01 스크랩 ㄷㄷ ""이래도 결혼 안 할래?""…'축의금 100만원' 준다는 정부 ""이래도 결혼 안 할래?""…'축의금 100만원' 준다는 정부 n.",07.,news.,"""이래도 결혼 안 할래?""…'축의금 100만원' 준다는 정부",dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=79754,,79754,,,,,
축의금 만원,축의금 만원,"""이래도 결혼 안 할래?""…'축의금 100만원' 준다는 정부.",,결갤러 (115.,"""이래도 결혼 안 할래?""…'축의금 100만원' 준다는 정부",dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=79754,,79754,,,,,
결직웨딩 통해서,결직웨딩 통해서,결직웨딩을 통해서 라흐스튜디오 계약했어요~.,,"결혼 준비를 시작하면서 스튜디오를 어디로 할지 많이 고민했는데, 결직웨딩을 통해 라흐스튜디오를 알게 되었고 플래너님께 추천받아 계약하게 되었습니다.",결직웨딩을 통해서 라흐스튜디오 계약했어요~,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=107,,107,,,,,
