source,research_use,analysis_tier,service_categories,issue_labels,price_mentions,direct_experience,is_repost,title,evidence,url
kgwed,core_problem,C,dress,"unexpected_extra_cost, service_quality",,False,False,6개월간 웨딩 준비하며 레이첼 드레스 선택한 이유,사실 저는 추가금 내고 3번째 입어본 더더더더 화려한 드레스도 마음에 들었지만 예랑의 강력한 추천으로 하지만 최종 고른 드레스도 엄청 마음에 들었어요. / 레이첼웨딩은 저와 같은 취향을 가지신 신부님들께는 아주 만족이실 거예요.,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92
kgwed,core_problem,A,"wedding_hall, package",decision_overload,,True,False,결직 스드메상담 후기,다행이 적당한 장소를 상견례하는 날 발견했었는데 꽃장식이랑 이런거 부터 직접 알아봐야 되어서 솔직히 막막했거든요.,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=76
kgwed,core_problem,C,"studio, dress, package, wedding_goods","planner_workflow, service_quality",,False,False,결직웨딩 스드메 계약 후기 (로그에이 / 라포레 / 드이희),"결직웨딩 통해 스드메 계약 마치고, 9월 예식을 앞둔 예비 신부입니다 🙂 저는 작년 9월에 이*현 이사님 통해 모든 스드메를 예약했는데요! / 우선 결론부터 말씀드리면 100% 만족입니당 ! / 비동행 플래너인 듯 아닌듯, 스드메 모든 부분을 꼼꼼하게 챙겨주신 부분이 제일 만족스럽더라구요 계약 후기를 먼저 말씀드리자면! / 그럴 때마다 챙겨주시고 실제로 드투때, 본식 드레스 고르날에 와주셔서 큰 도움을 주셨습니다 ㅠㅠ 이때 무지 감동받았어요… 덕분에 정말 맘에 드는 드레스 입고 본식날 입장합니다 두근두근 앞으로 예식이 얼마 남지 않았는데 결직 웨딩 덕분에 실패없이 차근차근 준비할 수 있어서 행복하네용 🙂 설레기도 하구요!!",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=110
kgwed,core_problem,A,"studio, package","price_comparison, service_quality",,True,False,결직웨딩을 통해서 라흐스튜디오 계약했어요~,"사실 다른 스튜디오도 고려했지만, 상담 과정에서 라흐스튜디오 샘플 사진을 보면서 확신이 들었고, 이벤트가로 합리적인 금액에 계약할 수 있어 만족스러웠습니다. / 계약한 라흐 스튜디오 촬영 당일에도 작가님과 스태프분들이 꼼꼼하고 친절하게 분위기를 이끌어주셔서 긴장이 풀렸고, 자연스러운 포즈와 표정을 잘 잡아주셔서 촬영 내내 즐겁게 임할 수 있었습니다. / 결과물을 받아보니 라흐스튜디오 특유의 색감과 무드가 그대로 담겨 있어 저희만의 분위기를 멋지게 표현할 수 있었습니다. / 결직웨딩을 통해 계약하면서 느낀 장점은 투명한 견적과 강요 없는 상담, 그리고 세심하고 친절한 안내였습니다. / 예산도 절약하면서 만족도 높은 결과물을 얻어 정말 현명한 선택이었다고 생각합니다.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=107
kgwed,core_problem,C,"studio, dress",service_quality,,False,False,그가사랑하는순간 웨딩촬영후기,"그가사랑하는순간 웨딩촬영후기 그가사랑하는순간은 원본만족도가 상당히 좋기로 유명한 곳 이라고 들었는데 정말 마음에 들었어요. / ​ 워낙 깔끔한 분위기를 선호해서, 스튜디오, 드레스도 깔끔한 쪽으로 구성했는데요, 역시나 웨딩촬영도 성공적으로 만족스러운 결과물을 얻었습니다.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=83
kgwed,core_problem,C,makeup,"planner_workflow, service_quality",,False,False,김청경 헤어 메이크업 계약후기,"직거래웨딩에서 워크인으로 예약 잡아주셔서, 플래너 필요없이 직접 계약 했어요. / 헤어도, 메이크업도 만족도가 높은 웨딩 메이크업샵입니다.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=55
kgwed,core_problem,C,makeup,"planner_workflow, service_quality",,False,False,김청경 헤어페이스 후기 공유해요,"아는 게 있어야 조잘조잘 말하는데, 아는 게 없어서...ㅋㅋㅋ 주변에선 헤어나 메이크업을 많이 찾아보고 아니다 싶으면 바로바로 말해야 수정을 해주신다고 했는데, 그렇게 못했어요...ㅠ 스탭분들이 꾸벅꾸벅 조는 저를 너무나도 잘 챙겨주셨고, 원하는 스타일로 잘 꾸며 주셨답니다. / 같이 진행해주시던 스탭분도 너무 착하셨고 친절하셨어요. / 아참, 그리고 전 헤어 메이크업 실장급으로 예약을 했는데요. / 신랑은 너무 맘에 들어서 본식 전엔 항상 다니는 샵에 가질 않고 부원장님 예약 잡아서 다운펌과 커트를 진행했어요. / 전 사실 헤어가 미친 듯이~~~~맘에 드는 건 아니었지만 만족했고, 메이크업도 본식 때는 좀 더 고급지게 연출해주신다고 말하셨어요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=65
kgwed,core_problem,C,"dress, package","planner_workflow, service_quality",,False,False,누벨드블랑 본식드레스 계약 후기,"누벨드블랑 본식드레스 계약 후기 저는 뭔가 맑고 깨끗한 소녀 느낌의 드레스를 원했는데, 제가 너무 까다로운 건지 원하는 느낌의 드레스가 많이 없다고 생각하던 찰나에 누벨드블랑 드레스를 보게되었어요 딱 제가 원하는 비즈 드레스가 있어서 결직웨딩 매니저님 통해서 바로 방문을 예약했고, 실제로 가서 드레스들을 보니 사진보다 훨씬 예쁘더라고요. / 그래서 실장님과 이야기를 나눈 후에 저의 이미지와 체형에 잘 맞는 드레스를 보여주시고 피팅을 해주셨는데, 정말 친절하시고 꼼꼼하게 봐주셔서 기분이 정말 좋았어요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=91
kgwed,core_problem,C,"wedding_hall, dress","unexpected_extra_cost, service_quality",,False,False,더화이트 엘리자베스 본식가봉 후기,"그래서 본식 가봉 때는 벨라인과 A라인 드레스를 중심으로 피팅해봤는데, 모두 만족스러웠습니다. / 특히 신상 드레스 4벌을 입어보고 추가금이 있는 신상 드레스를 최종적으로 선택했어요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=50
kgwed,core_problem,C,dress,service_quality,,False,False,모네뜨아르 웨딩드레스 본식드레스 가봉후기입니다!,"어떤 디자인이 저에게 어울리고, 어떤 건 어울리지 않는지 친절하게 설명해 주신 부분이 특히 좋았습니다. / 비록 드레스에 만족하지만, 가끔 A라인을 했으면 어땠을까 하는 생각도 들긴 해요. / 그래도 본식 드레스는 가격과 질 모두 만족스러웠습니다.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=51
